experiment,dgp,n,p,B,min_leaf,rep,method,mse,mse_true,runtime,lam_tree,lam_cv,lam_ij,lam_oracle,lam_local_mean
calibration,dgp1,300,10,10,5,3,RF,1.282743178085643,0.15290621180792763,0.011148748999858071,0.7886982932696874,0.4039041698504176,0.28523502827616515,0.53,0.4134432205555559
calibration,dgp1,300,10,10,5,3,SSRF-JS,1.2322775195771898,0.11176320336400664,0.011148748999858071,0.7886982932696874,0.4039041698504176,0.28523502827616515,0.53,0.4134432205555559
calibration,dgp1,300,10,10,5,3,Cal-CV,1.2007790808270042,0.09733854077286776,0.06883596999978181,0.7886982932696874,0.4039041698504176,0.28523502827616515,0.53,0.4134432205555559
calibration,dgp1,300,10,10,5,3,Cal-CV-local,1.2056073459961723,0.10314474880641772,0.06883596999978181,0.7886982932696874,0.4039041698504176,0.28523502827616515,0.53,0.4134432205555559
calibration,dgp1,300,10,10,5,3,Cal-IJ,1.2080536840297398,0.10986807293525441,0.015486263999946459,0.7886982932696874,0.4039041698504176,0.28523502827616515,0.53,0.4134432205555559
calibration,dgp1,300,10,10,5,4,RF,1.430234382326135,0.15526811285136735,0.011900775000185604,0.6870759951817672,0.05779457151936159,0.0,0.54,0.0707401546754657
calibration,dgp1,300,10,10,5,4,SSRF-JS,1.3994309164847802,0.11628783978150896,0.011900775000185604,0.6870759951817672,0.05779457151936159,0.0,0.54,0.0707401546754657
calibration,dgp1,300,10,10,5,4,Cal-CV,1.463226891384316,0.16133573734967044,0.0701082780001343,0.6870759951817672,0.05779457151936159,0.0,0.54,0.0707401546754657
calibration,dgp1,300,10,10,5,4,Cal-CV-local,1.4608485650331795,0.15995661604922054,0.0701082780001343,0.6870759951817672,0.05779457151936159,0.0,0.54,0.0707401546754657
calibration,dgp1,300,10,10,5,4,Cal-IJ,1.4771806710588253,0.17363795344864857,0.016284049000205414,0.6870759951817672,0.05779457151936159,0.0,0.54,0.0707401546754657
calibration,dgp1,300,10,10,5,5,RF,1.4035740467093862,0.13098922226424164,0.012038470999868878,0.7990710508992617,0.6866810419002017,0.2024475834593714,0.5700000000000001,0.6494139716009018
calibration,dgp1,300,10,10,5,5,SSRF-JS,1.3692525466929395,0.09379695806770538,0.012038470999868878,0.7990710508992617,0.6866810419002017,0.2024475834593714,0.5700000000000001,0.6494139716009018
calibration,dgp1,300,10,10,5,5,Cal-CV,1.360593366164703,0.08336940679454907,0.07234146899986627,0.7990710508992617,0.6866810419002017,0.2024475834593714,0.5700000000000001,0.6494139716009018
calibration,dgp1,300,10,10,5,5,Cal-CV-local,1.359429704531014,0.08395150670885285,0.07234146899986627,0.7990710508992617,0.6866810419002017,0.2024475834593714,0.5700000000000001,0.6494139716009018
calibration,dgp1,300,10,10,5,5,Cal-IJ,1.4033225526116888,0.11892882489258234,0.016836631999922247,0.7990710508992617,0.6866810419002017,0.2024475834593714,0.5700000000000001,0.6494139716009018
calibration,dgp1,300,10,10,5,6,RF,1.3880649550888633,0.21224188726576046,0.013568598000119891,0.7797739510440406,0.6920137614247683,0.02068871954803768,0.37,0.7021072455014885
calibration,dgp1,300,10,10,5,6,SSRF-JS,1.364452079799938,0.1846267013188904,0.013568598000119891,0.7797739510440406,0.6920137614247683,0.02068871954803768,0.37,0.7021072455014885
calibration,dgp1,300,10,10,5,6,Cal-CV,1.3566671980756209,0.175615602593966,0.07977864400027102,0.7797739510440406,0.6920137614247683,0.02068871954803768,0.37,0.7021072455014885
